song_id;title;genre;Рік запису;Хто записав;Місце запису;Респондент;Вік респондента/рік народження
1.23_Dmytrenko, Dovzhenok, Hrytsa_2009_Thoughts of the early Cossack period;;дума;1956 р.;;с. Велика Писарівка на Сумщині (нині Охтирського району Сумської област);Мовчан Є.;1898 р.
1.24_Dmytrenko, Dovzhenok, Hrytsa_2009_Thoughts of the early Cossack period;НЕВОЛЬНИЦЬКИЙ ПЛАЧ;дума;1974 р.;;;Ткаченко Г.;1898 р.
1.25_Dmytrenko, Dovzhenok, Hrytsa_2009_Thoughts of the early Cossack period;ПЛАЧ КОЗАКІВ-НЕВОЛЬНИКІВ;дума;;Грица С.;;Ткаченко Г.;1898 р.
1.26_Dmytrenko, Dovzhenok, Hrytsa_2009_Thoughts of the early Cossack period;НЕВОЛЬНИЦЬКИЙ ПЛАЧ;дума;;;;;
2.1_Dmytrenko, Dovzhenok, Hrytsa_2009_Thoughts of the early Cossack period;ПЛАЧЪ НЕВОЛЬНИКА;дума;1932 р.;Лукашевич П.;в околицях Яготина (нині Бориспільський район Київської області);;
2.2_Dmytrenko, Dovzhenok, Hrytsa_2009_Thoughts of the early Cossack period;ПРО НЕВОЛЬНИКОВЪ;дума;1853 р. ;Метлинський А.;містечко Олександрівка Соснинського повіту Чернігівської губернії (нині Корюківського району Чернігівської області);Шута А.;
2.3_Dmytrenko, Dovzhenok, Hrytsa_2009_Thoughts of the early Cossack period;;дума;;Ніговський М.;с. Красний Кут Богодухівського повіту Харківської губернії (нині с. Краснокутськ Богодухівського району Харківської області);Григоренко К.;
2.4_Dmytrenko, Dovzhenok, Hrytsa_2009_Thoughts of the early Cossack period;ДВОХЪ БРАТИВЪ НЕВОЛЬНЫКИВЪ ПИСЬНЯ;дума;21 січня 1903 р.;Мартинович П.;Костянтиноград (нині Красноград),  Красноградського району Харківської області;Бондаренко М.;1834 р.
2.5_Dmytrenko, Dovzhenok, Hrytsa_2009_Thoughts of the early Cossack period;БИДНОГО НЕВОЛЬНЫКА ПИСЬНЯ;дума;30 січня 1903 р.;Мартинович П.;Костянтиноград (нині Красноград),  Красноградського району Харківської області;Бондаренко М.;1834 р.
2.6_Dmytrenko, Dovzhenok, Hrytsa_2009_Thoughts of the early Cossack period;НЕВОЛЬНИЦЬКІЙ ПЛАЧ;дума;1902 р.;Сперанський М., Бакалов В., Данилов В.;м. Київ (респондент із с. Волосківці Сосницького повіту Чернігівської області (нині Корюківський район));Пархоменко Т.;1872 р.
2.7_Dmytrenko, Dovzhenok, Hrytsa_2009_Thoughts of the early Cossack period;НЕВОЛЬНИЦЬКА ДУМА;дума;1903 р.;Яворницький Д.;с. Великі Сорочинці Миргородського повіту Полтавської губернії;Кравченко М.;1858 р.
2.8_Dmytrenko, Dovzhenok, Hrytsa_2009_Thoughts of the early Cossack period;ОЙ ТО НЕ ЯСНЫЙ СОКИЛЪ ХВЫЛЫТЬ-ПРОХВЫЛЯЕ;дума;1904 р.;Шевченко В.;Миргородський повіт Полтавської губернії;Кравченко М.;1858 р.
2.9_Dmytrenko, Dovzhenok, Hrytsa_2009_Thoughts of the early Cossack period;ПЛАЧ НЕВОЛЬНИЦЬКІЙ;дума;1908 р. ;Сластіон О.;с. Лелюхівка Кобеляцького повіту Полтавської губернії (нині Новосанжарського району Полтавської області);Скубій І.;1858 р.
2.10_Dmytrenko, Dovzhenok, Hrytsa_2009_Thoughts of the early Cossack period;ПЛАЧ НЕВОЛЬНИКА;дума;1909 р.;Сластіон О.;с. Лелюхівка Кобеляцького повіту Полтавської губернії (нині Новосанжарського району Полтавської області);Скубій І.;1858 р.
2.11_Dmytrenko, Dovzhenok, Hrytsa_2009_Thoughts of the early Cossack period;ПЛАЧ НЕВОЛЬНИКА (НЕВОЛЬНИЦЬКИЙ ПЛАЧ);дума;1908 р.;Колесса Ф.;с. Великі Сорочинці Миргородського повіту Полтавської губернії;Кравченко М.;1858 р.
