song_id;title;genre;Рік запису;Хто записав;Місце запису;Респондент;Вік респондента/рік народження
11.01_UND_T2_;ТРИ БРАТА ВЪ ПЛѢНУ ВЪ АЗОВѢ;дума;бл. 1808 р.;Ломиковський В.;Полтавщина;кобзар Іван;
11.02_UND_T2_;О ПОБѢГѢ ТРЕХЪ БРАТЬЕВЪ ИЗЪ АЗОВА;дума;1814 р.;Цертелєв М.;Полтавщина;невідомий кобзар;
11.03_UND_T2_;;дума;до 1931 р.;подав Срезневський І.;;невідомий кобзар;
11.04_UND_T2_;;дума;1835 р.;Лукашевич П.;с. Березівка Прилуцького повіту Полтавської губернії (нині Талалаївський район Чернігівської області);Стрічка І.;бл. 1800 р.
11.05_UND_T2_;ТРИ БРАТИ;дума;1836 р.;Лукашевич П.;Пирятинський повіт Полтавської губернії (нині Пирятнинський район Полтавської області);Олійник А.;
11.06_UND_T2_;;дума;1840 р.;Костомаров М.;м. Харків;невідомий бандурист;
11.07_UND_T2_;11.7;дума;1830-1840 рр.;Срезневський І.;;;
11.08_UND_T2_;11.8;дума;липень 1947 р.;Лукашевич П.;дорогою до м. Ромен, респондент із с. Березівка Прилуцького повіту (нині Талалаївського району Чернігівської області);спіпий бандурист;
11.09_UND_T2_;О ПОБѢГѢ ТРЕХЪ БРАТЬЕВЪ ИЗЪ АЗОВА;дума;1850-1851 рр.;Судовщиков Є.;м. Яготин Полтавської губернії ;Алексєєв (Крячківський) Ф.;
11.10_UND_T2_;ПРО ТРОХ БРАТИВ (АЗОВСЬКЫХ) ;дума;1852-1854 рр.;Білозерський М.;с. Британи Борзенського повіту Чернігівської губернії (нині с. Дуболугівка Ніжинського району Чернігівської області);;
11.11_UND_T2_;ДУМА О БѢГСТВѢ ТРЕХЪ БРАТЬЕВЪ ИЗЪ АЗОВА;дума;1854 р. ;Куліш П.;поблизу с. Оржиця Лубенського повіту Полтавської губернії (нині Оржицький район Поталвської області);Никоненко А.;
