song_id;title;genre;Рік запису;Хто записав;Місце запису;Респондент;Вік респондента/рік народження
14А_Grushevska_1931_Tom2;;дума;кінець ХѴІІ або початок ХѴІІІ ст;Кондрацький;На Правобережжі або Волині;;
14Б_Grushevska_1931_Tom2;Голота;дума;;;Західна Полтавщина;;
14В_Grushevska_1931_Tom2;Схватка съ Татариномъ;дума;;М. Максимович;;;
14Г_Grushevska_1931_Tom2;Про козака Голоту;дума;на початку 1850-х років.;Білозерський;село Британи Борзенського пов;кобзар Іван Романенко;
14Ґ_Grushevska_1931_Tom2;Дума о козакѣ Голотѣ.;дума;мабуть 1852 р.;П. Куліш;на хуторі під Оржицею;лірник Архип Никоненко;
14Х_Grushevska_1931_Tom2;Про Козака Голоту;дума;;П. Куліш;;;
15А_Grushevska_1931_Tom2;Козакъ Иванъ Коновченко изъ города Черкасъ.;дума;коло 1810 р.;П. Житецький; Миргородщина;кобзар Іван;
15Б_Grushevska_1931_Tom2;О смерти Ивана Коновченка или о походѣ Козаковъ противъ Татаръ.;дума;1814 р.;М. Цертелев;Миргородщина;невідомий кобзар;
15В_Grushevska_1931_Tom2;;дума;1832 р.;П. Лукашевич;коло Ромна;кобзар Іван Стрічка;
15Г_Grushevska_1931_Tom2;;дума;;;;;
15Ґ_Grushevska_1931_Tom2;;дума;1840-х рр.;М. Костомаров;Харківщина;;
15Д_Grushevska_1931_Tom2;Про Ивася Вдовиченка.;дума;1852 р.;П. Куліш;Олександрівка Сосницького пов.;кобзар Андрій Шут;
15Е_Grushevska_1931_Tom2;;дума;початок 1850-х рр.;М. Білозерський;Британи Борзенського пов;кобзар Ів. Романенко;
15Є_Grushevska_1931_Tom2;Про Ивася Коновченка;дума;;П. Куліш;;лірник Архип Никоненко;
15Є1_Grushevska_1931_Tom2;;дума;;;;;
15Ж_Grushevska_1931_Tom2;Івась Коновченко;дума;1854 р.;Шишацький-Ілліч;Седнев Чернігівського пов.;бандурист Василь Вакуленко;
15З_Grushevska_1931_Tom2;Ивась Коновченко;дума;;П. Куліш;Олександрівка Лубенського пов;лірник Хв. Кононенка;
15І_Grushevska_1931_Tom2;Дума объ Ивасѣ Вдовиченкѣ Коновченкѣ;дума;;М. Ніговський;Вільшана Богодухівського пов.;кобзар Петро Колибаба;
15Ї_Grushevska_1931_Tom2;Пісня про Коновченка.;дума;липень 1861 р;В. Гнилосиров;Поділля;;
15И_Grushevska_1931_Tom2;;дума;1850-х рр;Д. Мороз;Чернігівщина;;
15Й_Grushevska_1931_Tom2;Дума про Ивана Коновченка-удовиченка.;дума;1868 р.;П. Кисіль;с. Пилявці на Поділлі;лірник Осип;
15К_Grushevska_1931_Tom2;;дума;;П. Житецький;;лірник Іван Василевич;
15Л_Grushevska_1931_Tom2;Дума о Ивасѣ Коновченкѣ (Вдовиченкѣ).;дума;;В. Томачинський; Полісся;лірник Марко Самійленко;
15М_Grushevska_1931_Tom2;Про лицаря Ивана Конівченка.;дума;;;хутір Млинки Банківського пов. на Харківщині;кобзар;
15Н_Grushevska_1931_Tom2;Про Коновченка вдовиченка.;дума;20 травня 1876 р.;П. Мартинович;Лохвиця на Приліпці;кобзар Ів. Крюковський;
15О_Grushevska_1931_Tom2;Про Коновченка.;дума;З липня 1876 р;П. Мартинович;м. Вороньки Лохвицького пов.;кобзар Трихвона Магадина;
15П_Grushevska_1931_Tom2;Дума про Івася Вдовиченка Коновченка;дума;на початку 1880-х рр.;М. Дашкевич;с. Слободка Радомиського пов.;лірник;
15Р_Grushevska_1931_Tom2;Коновченько;дума;1881 р.;Є. Сіцінський;Мазники, Поділля;лірник Степан Ґудзь;
15РР_Grushevska_1931_Tom2;Дума про Йвася Коновченка.;дума;мабуть 1882 р;К. Ухач - Охорович;;кобзар О. Вересай;
15С_Grushevska_1931_Tom2;Іван Коновченко;дума;мабуть 1882 р.;В. Горленко;Лохвиця ;кобзар І. Крюковський;
15СС_Grushevska_1931_Tom2;Іван Коновченко.;дума;мабуть 1883 р.;В. Горленко;Вейсбахівка Прилуцького пов.;лірник Єфим Перепелиця;
15Т_Grushevska_1931_Tom2;Канивченко;дума;мабуть 1884 р;В. Горленко;селі Тамарівка Пирятинського пов.;лірник Хв. Баша;
15ТТ_Grushevska_1931_Tom2;Конівченко;дума;вересень 1885 р.;В. Горленко;Миргород;лірник Кузьменко (Сокур);
15У_Grushevska_1931_Tom2;Коновченко;дума;1885 р.;П. Мартинович;Лютенка;кобзар Хв. Гриценко (Холодий);
15Ф_Grushevska_1931_Tom2;Коновченко;дума;;В. Боржковський;с. Глущинці;майстр музичних інструментів Олександр Димнич (Плазун);
15Ф1_Grushevska_1931_Tom2;;дума;;В. Боржковський;Пиків  Вінницького пов.;лірник Никон;
15ФФ_Grushevska_1931_Tom2;Іван Удовиченко.;дума;на початку цього століття;О. Сластьон;;лірник Юхим Бутовський;
15Х_Grushevska_1931_Tom2;Коновченко;дума;1895 р.;В. Кравченко;с. Бейзимівка, Житомирського пов.;лірник Сидор Гуменюк;
15ХХ_Grushevska_1931_Tom2;;дума;16 жовтня 1899 р.;В. Кравченко;с. Грижани Житомирського пов;лірник Яків Сапожник;
15Ц_Grushevska_1931_Tom2;Василь Удовиченко.;дума;квітень 1903 р.;О. Малинка;с. Марчихина Буда Глухівського пов.;лірник Никифор Дудка;
15ЦЦ_Grushevska_1931_Tom2;;дума;1906 р;H. М. Малеча;с. Супівці Могилівського пов;;
15Ч_Grushevska_1931_Tom2;Каноученко;дума;;В. Кравченко;Сербівська вол. Звягельського пов;;
15ЧЧ_Grushevska_1931_Tom2; Дума про Івана Коновченка;дума;весна 1923 р.;Олена Пчілка;Могилівський пов.;лірник;
15Ш_Grushevska_1931_Tom2;Дума про Івана Коновченка.;дума;15—16 червня 1924 р. ;М. Гайдай;Троянів Житомирського пов.;дід Кузьма Фещенка;
15ШШ_Grushevska_1931_Tom2;про Коновченка;дума;17 липня 1924 р;В. Кравченко;в потягу між Коростенем і Овручем;лірник Савка Павлов Дімещук;
15Щ_Grushevska_1931_Tom2;Пісня про Івана Воїна.;дума;20 серпня 1925 р.;Ю. Філь;Кам’янка;лірник Іван Карлович Бернацький;
15ЩЩ_Grushevska_1931_Tom2;Про Коновченка, або про Івана-воїна.;дума;14 жовтня 1925 р;С. Сіцінський;Кам’янка;лірник Данило Мазур;
15Ю_Grushevska_1931_Tom2;Коновченко;дума;11 —12 лютого 1925 р.;Н. Дмитрук;Бейзимівка Янушпільського району;Іван Сидорович Гуменюк і лірник Сидір Гуменюк;
15ЮЮ_Grushevska_1931_Tom2;;дума;4 квітня 1926;3. і К. Соколови;Тульчин;лірник Петро Панасюк;
15Я_Grushevska_1931_Tom2;Про Канавченка;дума;26 травня 1926 р.;Б. Луговський;Чернігів ;лірник Аксентій Шолох;
15Х_Grushevska_1931_Tom2;Про Ивана Коновченка.;дума;;А. С. Афанасьєв;;;
15У_Grushevska_1931_Tom2;Коновченко.;дума;;Я. Головацький;;;
16А_Grushevska_1931_Tom2;Федоръ Безродный.;дума;1810 р.;П. Житецький;Миргородщина;кобзар Іван;
16Б_Grushevska_1931_Tom2;Смерть Федора Безроднаго.;дума;1814 р.;М. Цертелев;Миргородщина;невідомий кобзар;
