song_id;title;genre;Рік запису;Хто записав;Місце запису;Респондент;Вік респондента/рік народження
13.2А_Grushevska_1927_Tom1;;дума;;I. Труша;м. Сенчи Лохвицького уїзда, Полтавской губ.;;
14ВВ_Grushevska_1927_Tom1;Невольныцька.;дума;всередині 1880-х рр.;В. Горленко;с. Дейкаловка Зеньківського уїзда;Мусій Кулик;
15.3Е_Grushevska_1927_Tom1;;дума;;0. Сластьон;; І. Скубій;
16ҐҐ_Grushevska_1927_Tom1;Плач невольницькій.;дума;1908 р.;0. Сластьон;; І. Скубій;
17ВВ_Grushevska_1927_Tom1;Дивка бранка.;дума;в середині 1880-х років.;В. Горленко;с. Дейкаловка Зеньківського уїзда;кобзар Мусій Кулик;
18ҐҐ_Grushevska_1927_Tom1;Про Марусю Богуславку;дума;;0. Сластьон;; І. Скубій;
19Е_Grushevska_1927_Tom1;Маруся Попивна-Богославка.;дума;23..05.1927 р.;В. Кравченко;с. Сколубова, Пулинської вол., Волинської округи;Федір Хамулка;
20ЗЗ_Grushevska_1927_Tom1;Олексій Попович.;дума;1875 р.;Ів. Манджура;Должик Харьківський у.;Павло Дашенко;
21ЇЇ_Grushevska_1927_Tom1;Олексій Поповычъ.;дума;в 1880-х рр.;В. Горленко;с. Дейкаловка Зеньківського уїзда;Мусій Кулик;
22ЛЛ_Grushevska_1927_Tom1;Олексій Попович ;дума;Мабуть 1910 р.;0. Сластьон;; І. Скубій;
23О_Grushevska_1927_Tom1;Олексій Попович.;дума;4.06.1910 р.;О. Сластьон;;Степан Пасюга;
24ВВ_Grushevska_1927_Tom1;Черноморская буря.;дума;1884 р.;В. Горленко;в Тамарівці Пирятинського пов. на Полтавщині; Федір Баша;
25ІІ_Grushevska_1927_Tom1;Як три брати утікали;дума;05.04.1875;Ів. Манджура;Должик Харьківський у.;бандурщик Миронівський;
26ИИ_Grushevska_1927_Tom1;Озовськи браты;дума;1884 р.;В. Горленко;С. Тамаровка; Федір Баша;
27ЙЙ_Grushevska_1927_Tom1;Три брата;дума;9.09.1885;В. Горленко; Миргород;Захар Кузьменко (Сокур);60—65 р.
28ММ_Grushevska_1927_Tom1;"Про „Озівських братів"" (про піхотинця).";дума;;Ф. Колесса;;М. Дубина;
29МММ_Grushevska_1927_Tom1;;дума;;Ф. Колесса;;М. Дубина;
30СС_Grushevska_1927_Tom1;"Дума про ""піхотинця"".";дума;;Ф. Колесса;Орликівщина Хорольського пов.;Явдоха Пилипенкова;
31ССС_Grushevska_1927_Tom1;;дума;;Ф. Колесса;Орликівщина Хорольського пов.;Явдоха Пилипенкова;
32ОО_Grushevska_1927_Tom1;;дума;;Ф. Колесса,;;кобзар Михайло Кравченко;
33ПП_Grushevska_1927_Tom1;;дума;;О. Сластьон;М. Богачка, Миргородський пов.; Антон Скоба;
34РР_Grushevska_1927_Tom1;"Дума ""про піхотинця"".";дума;;Ф. Колесса;; Остап Кальний;
35ҐҐ_Grushevska_1927_Tom1;Самарськи тры браты.;дума;в середині 1880-х років.;В. Горленко;с. Дейкаловка Зеньківського уїзда;Кобзар Мусій Гордієвич Кулик;70 р.
36Е_Grushevska_1927_Tom1;Самарські брати.;дума;;0. Сластьон;;І. Скубій;
37ЕЕ_Grushevska_1927_Tom1;Про Самарських братів;дума;;Ф. Колесса;;І. Скубій;
